"Специализация	Название	Код продукта"
"ICS (KICS)	Система раннего обнаружения аномалий Kaspersky Machine Learning for Anomaly Detection, Tags 	4993"
"ICS (KICS)	Kaspersky Machine Learning for Anomaly Detection with Event Processor	5000"
"ICS (KICS)	Kaspersky ICS (KICS) Express Audit	7615"
"KasperskyOS	Kaspersky USB redirect	4081"
"KasperskyOS	Kaspersky Thin Client 2 Premium Special Edition	4266"
"KasperskyOS	Kaspersky Security Management Suite Premium Special Edition	4281"
"KasperskyOS	Kaspersky Thin Client 2 	4966"
"KasperskyOS	Kaspersky Thin Client 	4980"
"KasperskyOS	Kaspersky Security Management Suite 	4981"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Secure Mobility Management	4050"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Container Security Lite Special	4073"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Security для виртуальных и облачных сред – Enterprise Edition, Desktop 	4153"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Security для виртуальных и облачных сред, Desktop 	4155"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Security для виртуальных и облачных сред, Desktop Special	4156"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Container Security Standard	4249"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Container Security Advanced	4250"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Security для виртуальных и облачных сред – Enterprise Edition, Server 	4253"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Security для виртуальных и облачных сред, Server 	4255"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Container Security Advanced AS 	4263"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Container Security Advanced Pro 	4265"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Security для виртуальных и облачных сред – Enterprise Edition, CPU 	4553"
"CWP (Контейнеры/Вирт. и обл. среды	Kaspersky Security для виртуальных и облачных сред, Core 	4555"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Attribution Engine	4988"
"TI (Data Feeds/CyberTrace/TI)	Платформа атрибуции угроз, локальная установка	4992"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Digital Footprint Intelligence	7243"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky ICS (KICS) Customer-Specific Reporting	7244"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky ICS (KICS) TI (Data Feeds/CyberTrace/TI) Reporting	7245"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky ICS (KICS) TI (Data Feeds/CyberTrace/TI) Reporting with MRTI	7246"
"TI (Data Feeds/CyberTrace/TI)	Кастомизированные Аналитические Отчеты по стране заказчика	7273"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчеты об APT-Угрозах. Основные результаты расследований + 3 полных отчета 	7280"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчеты об APT-Угрозах. Основные результаты расследований 	7283"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчеты об APT-Угрозах. Основные результаты расследований и IOCs 	7284"
"TI (Data Feeds/CyberTrace/TI)	Кастомизированные Аналитические Отчеты 	7285"
"TI (Data Feeds/CyberTrace/TI)	Подготовка аналитических отчетов об угрозах информационной безопасности 	7286"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчеты об APT-Угрозах 	7289"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky APT C&C Tracking	7303"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчеты об APT-Угрозах Special 	7305"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Lookup & Analysis Bundle - Basic 	7312"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Lookup & Analysis Bundle - Essential 	7313"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Lookup & Analysis Bundle - Advanced 	7314"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчёты о crimeware угрозах 	7320"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчеты о финансовых угрозах 	7321"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчеты о финансовых угрозах. Основные результаты расследований и IOCs 	7322"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчёты о crimeware угрозах - Основные результаты расследований и IOCs 	7324"
"TI (Data Feeds/CyberTrace/TI)	Аналитические отчеты об APT и Crimeware Угрозах 	7326"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky TI (Data Feeds/CyberTrace/TI) Bundle - Basic	7327"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky TI (Data Feeds/CyberTrace/TI) Bundle - Advanced	7328"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky TI (Data Feeds/CyberTrace/TI) Bundle - Maximum	7329"
"TI (Data Feeds/CyberTrace/TI)	Разведка цифрового следа 	7330"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky TI (Data Feeds/CyberTrace/TI) Bundle - Essential	7331"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky TI (Data Feeds/CyberTrace/TI) Bundle - Expert	7332"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Data Feeds Bundle - URL	7333"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Data Feeds Bundle - URL & IP	7334"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Data Feeds Bundle - URL & IP & Hashes	7335"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Data Feeds Bundle - Expert	7336"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Data Feeds Bundle - Total	7337"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Digital Footprint Monitoring	7346"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Infrastructure Tracking	7890"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Cloud Threat Attribution Engine	7891"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Analysis	7892"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky ICS (KICS) TI (Data Feeds/CyberTrace/TI) Reporting - Executive Summary and IOCs	7893"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky TI (Data Feeds/CyberTrace/TI) Core	7894"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky TI (Data Feeds/CyberTrace/TI) Universal	7895"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky TI (Data Feeds/CyberTrace/TI) Complete	7896"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky APT & Crimeware & Industrial Intelligence Reporting	7897"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - Crimeware IOC 	7907"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Digital Footprint Monitoring MSSP	7909"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - ICS (KICS) Vulnerabilities 	7910"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - Whitelisting 	7911"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - IP reputation & URL & Hash & Mobile Threat & Whitelisting 	7912"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - Ransomware URL 	7913"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - APT IOC 	7914"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - All In One 	7915"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - Passive DNS 	7916"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - Malicious Hashes 	7917"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - IoT URL 	7918"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - Vulnerability Feed 	7919"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – ICS (KICS) Malware Hashes	7923"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Data Feeds - Suricata Rules	7924"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Услуги по предоставлению сведений о фишинговых сайтах и утечках персональных данных в российском сегменте ""Интернет"" 	7932"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - Open Source Threats 	7933"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Takedown Service	7937"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах - IP reputation & URL & Whitelisting & APT IOC & & Ransomware URL 	7949"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Critical Infrastructure TI (Data Feeds/CyberTrace/TI) Reporting	7951"
"TI (Data Feeds/CyberTrace/TI)	Мониторинг Фишинговых Атак 	7952"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Cloud Sandbox	7953"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Research Sandbox	7954"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – Malicious URL 	7961"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – URL 	7962"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – URL & Hash 	7963"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – Mobile Threat 	7964"
"TI (Data Feeds/CyberTrace/TI)	Kaspersky Threat Lookup	7966"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – IP reputation 	7967"
"TI (Data Feeds/CyberTrace/TI)	Потоки данных об угрозах – Phishing URL 	7968"
